tconst,rating,seasonNumber
tt0075533,6.6,1
tt0165592,7.7,8
tt0075539,7,1
tt0806910,7.2,1
tt0075529,6.1,1
tt1245432,7.3,1
tt0075551,7,1
tt1049986,7,6
tt1245432,7.3,1
tt1049986,7,6
tt0075573,7.1,1
tt0958967,7.7,1
tt0958967,7.7,1
tt0165592,7.7,8
tt0806910,7.2,1
tt0806910,7.2,1
tt0165593,7.7,13
tt0165593,7.7,12
tt0165593,7.7,13
tt0165593,7.7,14
tt0165592,7.7,8
tt0078564,6.5,1
tt0165592,7.7,9
tt0120958,7.9,0
tt0046593,8.6,24
tt1466074,8.2,7
tt1466074,8.2,7
tt1466074,8.2,7
tt1245432,7.3,2
tt0165593,7.7,13
tt0165592,7.7,8
tt0165592,7.7,9
tt0068067,7.9,7
tt0075471,8.3,1
tt0958967,7.7,1
tt0165593,7.7,13
tt0077011,6.9,1
tt0958967,7.7,1
tt0806910,7.2,1
tt0958967,7.7,1
tt0958967,7.7,2
tt0078643,6.8,1
tt0958967,7.7,1
tt0958967,7.7,1
tt4322992,8.5,1
tt4322992,8.5,1
tt4322992,8.5,1
tt0077008,6.6,1
tt0806910,7.2,1
tt0071054,7.1,5
tt0958967,7.7,1
tt0165592,7.7,9
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0077093,6.9,1
tt2786254,7.7,1
tt0159876,7.9,6
tt0958967,7.7,1
tt0165592,7.7,9
tt0762803,6.8,6
tt1294801,8.3,1
tt0165592,7.7,9
tt0077031,7,2
tt1686687,7.9,0
tt0165592,7.7,10
tt0165592,7.7,9
tt0081845,5.2,1
tt0958967,7.7,1
tt0078595,5.8,1
tt1245432,7.3,3
tt0072543,5.9,1
tt0078697,4.6,1
tt0958967,7.7,2
tt0080227,6.3,1
tt0078622,6.7,1
tt0078635,5.6,1
tt2487424,7.9,1
tt2487424,7.9,1
tt1686687,7.9,0
tt0806910,7.2,1
tt0165593,7.7,14
tt0958967,7.7,2
tt1015569,7.5,1
tt0078681,7.6,1
tt0762803,6.8,6
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0080289,7.7,1
tt0159876,7.9,6
tt0165593,7.7,14
tt0165593,7.7,14
tt0762803,6.8,7
tt0081863,6.8,1
tt0762803,6.8,6
tt0762803,6.8,7
tt0806910,7.2,1
tt0762803,6.8,6
tt0165592,7.7,11
tt0762803,6.8,7
tt0159876,7.9,0
tt0080240,7.5,1
tt0165592,7.7,11
tt0165593,7.7,15
tt0762803,6.8,6
tt0762803,6.8,6
tt0199214,8.5,1
tt0806910,7.2,1
tt0075471,8.3,4
tt0080231,7.8,1
tt0080276,7.3,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
