parentTconst,seasonNumber
tt0167726,1
tt1615489,2
tt0096531,1
tt0806910,1
tt0346222,3
tt0176357,8
tt0096538,2
tt0096538,1
tt0297625,1
tt0364151,3
tt0096558,1
tt1466074,9
tt1466074,8
tt1466074,8
tt1466074,9
tt1466074,9
tt1466074,8
tt1466074,9
tt1466074,8
tt1466074,9
tt0255726,1
tt0806901,20
tt0346222,3
tt0094456,2
tt1342141,1
tt0297626,7
tt0096594,1
tt0099283,1
tt0809273,0
tt0809273,0
tt0809273,0
tt1601983,2
tt6677224,1
tt1395811,0
tt0297626,6
tt1601983,2
tt0096619,1
tt0094512,2
tt0297625,1
tt0095670,1
tt0095670,1
tt0106078,1
tt0106078,1
tt0106078,1
tt0106078,1
tt0297625,1
tt0166458,3
tt1615489,1
tt0297626,6
tt0297625,1
tt0159876,0
tt0046593,34
tt0096684,1
tt0176357,8
tt1226281,1
tt0098904,1
tt1615489,1
tt0297625,1
tt0166458,3
tt1049304,4
tt0265408,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt3782882,0
tt0096718,1
tt1342141,1
tt0158415,1
tt0166458,3
tt0096731,1
tt0166458,1
tt0096733,1
tt0133302,8
tt0297626,7
tt1049304,5
tt0176357,9
tt0313144,0
tt0098761,1
tt0265408,1
tt0297626,6
tt1466074,9
tt1466074,10
tt0159876,0
tt0098889,1
tt1342141,1
tt0088507,0
tt0809273,0
tt0046593,34
tt0265408,1
tt0098798,1
tt0985040,7
tt0159876,0
tt0809273,0
tt0809273,0
tt0809273,0
tt0176357,10
tt0086734,7
tt0313144,0
tt0176357,10
tt0297626,6
tt1049304,5
tt0297626,7
tt0167566,0
tt0094525,3
tt1049304,5
tt0098884,1
tt1634348,1
tt0166458,4
tt0167566,0
tt0167566,0
tt0806910,1
tt0096552,0
tt0176357,9
tt1601983,3
tt0297626,6
tt0166458,4
tt0815353,0
tt0098889,1
tt0098916,1
tt0297625,2
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806901,20
tt0806910,1
tt0297626,7
tt0167566,0
tt0364151,6
tt0176357,9
tt1615489,2
tt0401056,2
tt0297626,7
tt0297625,3
tt0346328,1
tt0297625,3
tt1049304,5
tt0806901,21
tt0139780,1
tt1466074,10
tt1466074,10
tt1466074,11
tt3687174,0
tt0094456,0
tt0298685,2
tt0297626,8
tt0159876,19
tt0176357,10
tt0297626,8
tt0297626,7
tt1615489,2
tt2138025,0
tt2138025,0
tt2138025,0
tt0102171,1
tt0199184,0
tt1634348,1
tt0297626,8
tt0297626,8
tt0159876,20
tt0167644,1
tt0167644,1
tt0098765,2
tt0166458,5
tt0106078,2
tt0106078,2
tt0889258,2
tt0224815,1
tt0101161,1
tt0101152,1
tt0159876,20
tt0297625,3
tt0889258,2
tt0135104,0
tt0135104,0
tt1226281,1
tt0846838,1
tt0297625,3
tt0939820,1
tt0096658,3
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0297625,3
tt0806901,21
tt0985040,9
tt0806910,1
tt0298685,1
tt0297626,9
tt1049304,7
tt0297625,4
tt0297625,4
tt0806910,1
tt1466074,11
tt1466074,11
tt0297626,8
tt1049304,7
tt0297626,9
tt0094416,5
tt0094416,4
tt0485176,0
tt0098765,3
tt0806910,1
tt3782882,0
tt0147788,1
tt0889258,3
tt0166458,6
tt0884889,0
tt0098765,3
tt0884889,0
tt1049304,7
tt0147788,1
tt0167644,1
tt0167644,1
tt0100099,1
